학원번호,X,Y,상담유형,방문시간
16,126.9187402,37.55054485,신체적 정신적 건강,23
12,126.9202243,37.55854111,경제적 어려움,18
10,126.9111576,37.5553472,신체적 정신적 건강,19
3,126.9442751,37.54461185,신체적 정신적 건강,20
3,126.9442751,37.54461185,진로 및 적성,18
1,126.8813867,37.58184281,신체적 정신적 건강,19
13,126.9473086,37.5535666,경제적 어려움,20
5,126.9030374,37.55839451,대인관계,20
10,126.9111576,37.5553472,진로 및 적성,19
8,126.9530815,37.54711001,신체적 정신적 건강,19
12,126.9202243,37.55854111,경제적 어려움,23
8,126.9530815,37.54711001,외모,18
12,126.9202243,37.55854111,대인관계,21
10,126.9111576,37.5553472,진로 및 적성,22
3,126.9442751,37.54461185,신체적 정신적 건강,17
11,126.9268837,37.5546018,대인관계,16
3,126.9442751,37.54461185,가정환경,20
2,126.8930697,37.57630816,진로 및 적성,22
7,126.936161,37.55453562,가정환경,21
3,126.9442751,37.54461185,가정환경,20
11,126.9268837,37.5546018,가정환경,17
6,126.9394258,37.54670824,경제적 어려움,19
9,126.9315773,37.54716014,진로 및 적성,19
9,126.9315773,37.54716014,대인관계,20
14,126.9498621,37.53887854,성적,18
15,126.9580154,37.55327854,성적,22
11,126.9268837,37.5546018,성적,20
3,126.9442751,37.54461185,성적,18
6,126.9394258,37.54670824,경제적 어려움,22
14,126.9498621,37.53887854,대인관계,22
9,126.9315773,37.54716014,신체적 정신적 건강,18
7,126.936161,37.55453562,대인관계,18
12,126.9202243,37.55854111,신체적 정신적 건강,21
14,126.9498621,37.53887854,진로 및 적성,16
12,126.9202243,37.55854111,성적,19
10,126.9111576,37.5553472,경제적 어려움,23
8,126.9530815,37.54711001,경제적 어려움,21
11,126.9268837,37.5546018,대인관계,23
13,126.9473086,37.5535666,외모,17
15,126.9580154,37.55327854,성적,21
4,126.9061061,37.56929705,가정환경,20
7,126.936161,37.55453562,성적,19
13,126.9473086,37.5535666,경제적 어려움,20
9,126.9315773,37.54716014,가정환경,18
4,126.9061061,37.56929705,대인관계,16
6,126.9394258,37.54670824,신체적 정신적 건강,23
13,126.9473086,37.5535666,경제적 어려움,18
1,126.8813867,37.58184281,신체적 정신적 건강,19
6,126.9394258,37.54670824,외모,17
9,126.9315773,37.54716014,신체적 정신적 건강,19
6,126.9394258,37.54670824,신체적 정신적 건강,21
1,126.8813867,37.58184281,성적,16
12,126.9202243,37.55854111,대인관계,21
8,126.9530815,37.54711001,진로 및 적성,23
7,126.936161,37.55453562,신체적 정신적 건강,20
2,126.8930697,37.57630816,대인관계,19
1,126.8813867,37.58184281,외모,21
2,126.8930697,37.57630816,가정환경,21
11,126.9268837,37.5546018,신체적 정신적 건강,20
15,126.9580154,37.55327854,대인관계,17
11,126.9268837,37.5546018,가정환경,20
9,126.9315773,37.54716014,가정환경,16
15,126.9580154,37.55327854,외모,18
3,126.9442751,37.54461185,외모,19
9,126.9315773,37.54716014,경제적 어려움,19
5,126.9030374,37.55839451,신체적 정신적 건강,19
5,126.9030374,37.55839451,대인관계,17
2,126.8930697,37.57630816,외모,23
12,126.9202243,37.55854111,외모,21
10,126.9111576,37.5553472,대인관계,16
2,126.8930697,37.57630816,진로 및 적성,16
4,126.9061061,37.56929705,가정환경,17
6,126.9394258,37.54670824,가정환경,16
15,126.9580154,37.55327854,대인관계,19
7,126.936161,37.55453562,진로 및 적성,16
2,126.8930697,37.57630816,진로 및 적성,20
16,126.9187402,37.55054485,가정환경,22
12,126.9202243,37.55854111,신체적 정신적 건강,20
6,126.9394258,37.54670824,대인관계,21
9,126.9315773,37.54716014,신체적 정신적 건강,19
6,126.9394258,37.54670824,경제적 어려움,22
11,126.9268837,37.5546018,경제적 어려움,23
13,126.9473086,37.5535666,외모,20
16,126.9187402,37.55054485,신체적 정신적 건강,18
2,126.8930697,37.57630816,경제적 어려움,23
11,126.9268837,37.5546018,경제적 어려움,22
7,126.936161,37.55453562,외모,16
10,126.9111576,37.5553472,대인관계,22
7,126.936161,37.55453562,대인관계,18
5,126.9030374,37.55839451,가정환경,16
9,126.9315773,37.54716014,대인관계,16
7,126.936161,37.55453562,외모,18
13,126.9473086,37.5535666,진로 및 적성,23
4,126.9061061,37.56929705,성적,20
8,126.9530815,37.54711001,가정환경,18
9,126.9315773,37.54716014,성적,20
14,126.9498621,37.53887854,가정환경,17
1,126.8813867,37.58184281,경제적 어려움,16
15,126.9580154,37.55327854,대인관계,20
16,126.9187402,37.55054485,성적,18
6,126.9394258,37.54670824,진로 및 적성,18
4,126.9061061,37.56929705,대인관계,16
1,126.8813867,37.58184281,경제적 어려움,21
1,126.8813867,37.58184281,외모,16
2,126.8930697,37.57630816,외모,19
9,126.9315773,37.54716014,경제적 어려움,18
8,126.9530815,37.54711001,외모,19
8,126.9530815,37.54711001,가정환경,21
2,126.8930697,37.57630816,진로 및 적성,18
2,126.8930697,37.57630816,대인관계,16
7,126.936161,37.55453562,대인관계,18
16,126.9187402,37.55054485,가정환경,19
15,126.9580154,37.55327854,가정환경,19
4,126.9061061,37.56929705,경제적 어려움,19
2,126.8930697,37.57630816,진로 및 적성,20
11,126.9268837,37.5546018,가정환경,18
2,126.8930697,37.57630816,대인관계,17
10,126.9111576,37.5553472,경제적 어려움,23
4,126.9061061,37.56929705,성적,18
3,126.9442751,37.54461185,진로 및 적성,20
9,126.9315773,37.54716014,신체적 정신적 건강,19
8,126.9530815,37.54711001,가정환경,17
4,126.9061061,37.56929705,신체적 정신적 건강,21
16,126.9187402,37.55054485,진로 및 적성,17
13,126.9473086,37.5535666,신체적 정신적 건강,23
4,126.9061061,37.56929705,외모,23
16,126.9187402,37.55054485,신체적 정신적 건강,22
14,126.9498621,37.53887854,가정환경,16
13,126.9473086,37.5535666,진로 및 적성,19
14,126.9498621,37.53887854,가정환경,17
3,126.9442751,37.54461185,진로 및 적성,20
1,126.8813867,37.58184281,성적,22
1,126.8813867,37.58184281,경제적 어려움,16
12,126.9202243,37.55854111,경제적 어려움,21
5,126.9030374,37.55839451,가정환경,21
16,126.9187402,37.55054485,외모,23
15,126.9580154,37.55327854,외모,17
7,126.936161,37.55453562,신체적 정신적 건강,16
12,126.9202243,37.55854111,신체적 정신적 건강,17
8,126.9530815,37.54711001,성적,22
8,126.9530815,37.54711001,진로 및 적성,17
3,126.9442751,37.54461185,신체적 정신적 건강,16
7,126.936161,37.55453562,진로 및 적성,18
9,126.9315773,37.54716014,경제적 어려움,16
16,126.9187402,37.55054485,경제적 어려움,18
11,126.9268837,37.5546018,신체적 정신적 건강,17
3,126.9442751,37.54461185,외모,17
4,126.9061061,37.56929705,신체적 정신적 건강,16
2,126.8930697,37.57630816,신체적 정신적 건강,22
1,126.8813867,37.58184281,외모,22
7,126.936161,37.55453562,신체적 정신적 건강,17
2,126.8930697,37.57630816,성적,23
16,126.9187402,37.55054485,성적,16
1,126.8813867,37.58184281,대인관계,16
14,126.9498621,37.53887854,대인관계,22
6,126.9394258,37.54670824,진로 및 적성,18
13,126.9473086,37.5535666,경제적 어려움,20
10,126.9111576,37.5553472,외모,22
12,126.9202243,37.55854111,경제적 어려움,17
6,126.9394258,37.54670824,진로 및 적성,19
15,126.9580154,37.55327854,경제적 어려움,22
14,126.9498621,37.53887854,성적,19
11,126.9268837,37.5546018,가정환경,17
16,126.9187402,37.55054485,경제적 어려움,20
12,126.9202243,37.55854111,가정환경,20
8,126.9530815,37.54711001,가정환경,17
5,126.9030374,37.55839451,성적,19
11,126.9268837,37.5546018,대인관계,22
10,126.9111576,37.5553472,경제적 어려움,16
2,126.8930697,37.57630816,성적,19
15,126.9580154,37.55327854,진로 및 적성,22
11,126.9268837,37.5546018,진로 및 적성,20
14,126.9498621,37.53887854,외모,22
4,126.9061061,37.56929705,성적,18
2,126.8930697,37.57630816,가정환경,17
2,126.8930697,37.57630816,대인관계,19
6,126.9394258,37.54670824,경제적 어려움,17
12,126.9202243,37.55854111,신체적 정신적 건강,20
1,126.8813867,37.58184281,대인관계,17
10,126.9111576,37.5553472,가정환경,22
14,126.9498621,37.53887854,성적,16
7,126.936161,37.55453562,진로 및 적성,17
12,126.9202243,37.55854111,신체적 정신적 건강,20
2,126.8930697,37.57630816,진로 및 적성,23
16,126.9187402,37.55054485,진로 및 적성,18
9,126.9315773,37.54716014,성적,21
15,126.9580154,37.55327854,성적,22
1,126.8813867,37.58184281,신체적 정신적 건강,22
10,126.9111576,37.5553472,경제적 어려움,23
12,126.9202243,37.55854111,가정환경,16
13,126.9473086,37.5535666,진로 및 적성,16
10,126.9111576,37.5553472,진로 및 적성,20
2,126.8930697,37.57630816,가정환경,22
6,126.9394258,37.54670824,외모,18
6,126.9394258,37.54670824,경제적 어려움,23
8,126.9530815,37.54711001,대인관계,18
13,126.9473086,37.5535666,외모,20
10,126.9111576,37.5553472,외모,22
16,126.9187402,37.55054485,가정환경,18
13,126.9473086,37.5535666,외모,17
8,126.9530815,37.54711001,대인관계,19
9,126.9315773,37.54716014,외모,20
6,126.9394258,37.54670824,가정환경,22
5,126.9030374,37.55839451,대인관계,16
14,126.9498621,37.53887854,가정환경,20
14,126.9498621,37.53887854,성적,23
15,126.9580154,37.55327854,신체적 정신적 건강,19
3,126.9442751,37.54461185,경제적 어려움,22
1,126.8813867,37.58184281,경제적 어려움,22
2,126.8930697,37.57630816,진로 및 적성,17
1,126.8813867,37.58184281,진로 및 적성,16
7,126.936161,37.55453562,경제적 어려움,20
4,126.9061061,37.56929705,성적,22
13,126.9473086,37.5535666,성적,17
11,126.9268837,37.5546018,진로 및 적성,16
10,126.9111576,37.5553472,성적,17
10,126.9111576,37.5553472,신체적 정신적 건강,16
16,126.9187402,37.55054485,가정환경,23
8,126.9530815,37.54711001,가정환경,21
8,126.9530815,37.54711001,경제적 어려움,23
6,126.9394258,37.54670824,성적,22
5,126.9030374,37.55839451,외모,22
7,126.936161,37.55453562,외모,23
16,126.9187402,37.55054485,가정환경,22
6,126.9394258,37.54670824,신체적 정신적 건강,17
7,126.936161,37.55453562,진로 및 적성,19
16,126.9187402,37.55054485,대인관계,21
9,126.9315773,37.54716014,진로 및 적성,20
3,126.9442751,37.54461185,대인관계,17
9,126.9315773,37.54716014,경제적 어려움,23
15,126.9580154,37.55327854,경제적 어려움,17
11,126.9268837,37.5546018,가정환경,20
13,126.9473086,37.5535666,경제적 어려움,17
7,126.936161,37.55453562,대인관계,23
12,126.9202243,37.55854111,외모,16
10,126.9111576,37.5553472,가정환경,22
10,126.9111576,37.5553472,대인관계,20
4,126.9061061,37.56929705,가정환경,23
13,126.9473086,37.5535666,외모,21
15,126.9580154,37.55327854,경제적 어려움,20
5,126.9030374,37.55839451,대인관계,23
1,126.8813867,37.58184281,성적,21
15,126.9580154,37.55327854,경제적 어려움,16
9,126.9315773,37.54716014,성적,19
14,126.9498621,37.53887854,신체적 정신적 건강,21
12,126.9202243,37.55854111,외모,18
1,126.8813867,37.58184281,진로 및 적성,17
13,126.9473086,37.5535666,신체적 정신적 건강,22
12,126.9202243,37.55854111,가정환경,18
12,126.9202243,37.55854111,대인관계,16
13,126.9473086,37.5535666,대인관계,16
11,126.9268837,37.5546018,가정환경,17
1,126.8813867,37.58184281,외모,20
8,126.9530815,37.54711001,신체적 정신적 건강,20
1,126.8813867,37.58184281,진로 및 적성,19
9,126.9315773,37.54716014,외모,19
1,126.8813867,37.58184281,가정환경,23
2,126.8930697,37.57630816,신체적 정신적 건강,18
7,126.936161,37.55453562,대인관계,18
14,126.9498621,37.53887854,외모,19
10,126.9111576,37.5553472,외모,21
14,126.9498621,37.53887854,외모,23
9,126.9315773,37.54716014,신체적 정신적 건강,21
14,126.9498621,37.53887854,진로 및 적성,17
1,126.8813867,37.58184281,외모,23
3,126.9442751,37.54461185,성적,18
6,126.9394258,37.54670824,경제적 어려움,16
13,126.9473086,37.5535666,성적,23
1,126.8813867,37.58184281,성적,17
1,126.8813867,37.58184281,대인관계,18
9,126.9315773,37.54716014,외모,20
13,126.9473086,37.5535666,대인관계,22
8,126.9530815,37.54711001,대인관계,21
8,126.9530815,37.54711001,경제적 어려움,21
16,126.9187402,37.55054485,경제적 어려움,23
14,126.9498621,37.53887854,성적,21
5,126.9030374,37.55839451,경제적 어려움,17
10,126.9111576,37.5553472,대인관계,21
12,126.9202243,37.55854111,경제적 어려움,18
8,126.9530815,37.54711001,대인관계,17
1,126.8813867,37.58184281,경제적 어려움,19
3,126.9442751,37.54461185,외모,21
14,126.9498621,37.53887854,진로 및 적성,21
16,126.9187402,37.55054485,경제적 어려움,21
8,126.9530815,37.54711001,성적,19
2,126.8930697,37.57630816,경제적 어려움,17
1,126.8813867,37.58184281,신체적 정신적 건강,20
1,126.8813867,37.58184281,경제적 어려움,21
14,126.9498621,37.53887854,대인관계,19
12,126.9202243,37.55854111,신체적 정신적 건강,18
14,126.9498621,37.53887854,대인관계,23
3,126.9442751,37.54461185,진로 및 적성,22
15,126.9580154,37.55327854,대인관계,21
1,126.8813867,37.58184281,경제적 어려움,19
7,126.936161,37.55453562,경제적 어려움,21
7,126.936161,37.55453562,신체적 정신적 건강,21
15,126.9580154,37.55327854,진로 및 적성,19
10,126.9111576,37.5553472,대인관계,16
7,126.936161,37.55453562,성적,19
4,126.9061061,37.56929705,가정환경,22
3,126.9442751,37.54461185,외모,21
11,126.9268837,37.5546018,신체적 정신적 건강,20
5,126.9030374,37.55839451,가정환경,18
13,126.9473086,37.5535666,신체적 정신적 건강,18
11,126.9268837,37.5546018,가정환경,22
11,126.9268837,37.5546018,대인관계,21
7,126.936161,37.55453562,경제적 어려움,17
6,126.9394258,37.54670824,진로 및 적성,17
9,126.9315773,37.54716014,외모,20
14,126.9498621,37.53887854,성적,17
16,126.9187402,37.55054485,대인관계,16
5,126.9030374,37.55839451,대인관계,23
14,126.9498621,37.53887854,경제적 어려움,18
1,126.8813867,37.58184281,진로 및 적성,21
3,126.9442751,37.54461185,대인관계,22
13,126.9473086,37.5535666,대인관계,21
3,126.9442751,37.54461185,대인관계,16
12,126.9202243,37.55854111,경제적 어려움,23
14,126.9498621,37.53887854,성적,19
15,126.9580154,37.55327854,가정환경,21
2,126.8930697,37.57630816,경제적 어려움,22
14,126.9498621,37.53887854,진로 및 적성,18
8,126.9530815,37.54711001,진로 및 적성,19
8,126.9530815,37.54711001,외모,16
2,126.8930697,37.57630816,신체적 정신적 건강,18
9,126.9315773,37.54716014,성적,20
7,126.936161,37.55453562,가정환경,20
4,126.9061061,37.56929705,진로 및 적성,16
3,126.9442751,37.54461185,외모,19
5,126.9030374,37.55839451,진로 및 적성,18
9,126.9315773,37.54716014,성적,18
7,126.936161,37.55453562,외모,16
8,126.9530815,37.54711001,경제적 어려움,18
9,126.9315773,37.54716014,성적,17
16,126.9187402,37.55054485,가정환경,18
10,126.9111576,37.5553472,신체적 정신적 건강,23
15,126.9580154,37.55327854,대인관계,21
2,126.8930697,37.57630816,대인관계,17
4,126.9061061,37.56929705,가정환경,21
5,126.9030374,37.55839451,성적,21
2,126.8930697,37.57630816,대인관계,16
7,126.936161,37.55453562,외모,20
10,126.9111576,37.5553472,성적,22
3,126.9442751,37.54461185,성적,20
1,126.8813867,37.58184281,경제적 어려움,21
5,126.9030374,37.55839451,외모,18
4,126.9061061,37.56929705,대인관계,16
9,126.9315773,37.54716014,경제적 어려움,20
12,126.9202243,37.55854111,성적,23
8,126.9530815,37.54711001,경제적 어려움,17
3,126.9442751,37.54461185,신체적 정신적 건강,17
6,126.9394258,37.54670824,경제적 어려움,20
3,126.9442751,37.54461185,외모,23
6,126.9394258,37.54670824,성적,16
3,126.9442751,37.54461185,진로 및 적성,16
8,126.9530815,37.54711001,외모,18
11,126.9268837,37.5546018,진로 및 적성,18
3,126.9442751,37.54461185,경제적 어려움,22
8,126.9530815,37.54711001,성적,22
12,126.9202243,37.55854111,경제적 어려움,21
16,126.9187402,37.55054485,대인관계,20
16,126.9187402,37.55054485,진로 및 적성,21
9,126.9315773,37.54716014,진로 및 적성,22
11,126.9268837,37.5546018,성적,20
10,126.9111576,37.5553472,대인관계,19
1,126.8813867,37.58184281,외모,19
12,126.9202243,37.55854111,대인관계,21
16,126.9187402,37.55054485,성적,21
2,126.8930697,37.57630816,가정환경,19
13,126.9473086,37.5535666,대인관계,19
14,126.9498621,37.53887854,외모,18
10,126.9111576,37.5553472,외모,16
14,126.9498621,37.53887854,신체적 정신적 건강,22
10,126.9111576,37.5553472,진로 및 적성,18
1,126.8813867,37.58184281,성적,22
9,126.9315773,37.54716014,신체적 정신적 건강,18
8,126.9530815,37.54711001,신체적 정신적 건강,20
12,126.9202243,37.55854111,진로 및 적성,16
7,126.936161,37.55453562,성적,23
9,126.9315773,37.54716014,대인관계,17
14,126.9498621,37.53887854,가정환경,23
8,126.9530815,37.54711001,경제적 어려움,18
2,126.8930697,37.57630816,성적,19
2,126.8930697,37.57630816,신체적 정신적 건강,20
14,126.9498621,37.53887854,신체적 정신적 건강,18
15,126.9580154,37.55327854,경제적 어려움,19
2,126.8930697,37.57630816,성적,16
8,126.9530815,37.54711001,외모,22
8,126.9530815,37.54711001,경제적 어려움,18
2,126.8930697,37.57630816,대인관계,20
13,126.9473086,37.5535666,대인관계,22
7,126.936161,37.55453562,가정환경,16
5,126.9030374,37.55839451,대인관계,22
6,126.9394258,37.54670824,외모,17
16,126.9187402,37.55054485,성적,23
9,126.9315773,37.54716014,대인관계,22
14,126.9498621,37.53887854,외모,21
7,126.936161,37.55453562,외모,19
10,126.9111576,37.5553472,대인관계,22
6,126.9394258,37.54670824,외모,16
10,126.9111576,37.5553472,신체적 정신적 건강,23
16,126.9187402,37.55054485,외모,16
1,126.8813867,37.58184281,진로 및 적성,16
12,126.9202243,37.55854111,성적,17
9,126.9315773,37.54716014,경제적 어려움,20
6,126.9394258,37.54670824,성적,19
13,126.9473086,37.5535666,성적,21
4,126.9061061,37.56929705,대인관계,23
13,126.9473086,37.5535666,대인관계,18
6,126.9394258,37.54670824,신체적 정신적 건강,20
16,126.9187402,37.55054485,가정환경,16
12,126.9202243,37.55854111,대인관계,23
1,126.8813867,37.58184281,가정환경,18
11,126.9268837,37.5546018,가정환경,16
7,126.936161,37.55453562,대인관계,23
1,126.8813867,37.58184281,대인관계,20
11,126.9268837,37.5546018,가정환경,18
6,126.9394258,37.54670824,대인관계,23
8,126.9530815,37.54711001,경제적 어려움,17
11,126.9268837,37.5546018,성적,20
16,126.9187402,37.55054485,경제적 어려움,18
7,126.936161,37.55453562,진로 및 적성,21
8,126.9530815,37.54711001,경제적 어려움,20
11,126.9268837,37.5546018,외모,20
3,126.9442751,37.54461185,진로 및 적성,18
16,126.9187402,37.55054485,성적,18
7,126.936161,37.55453562,진로 및 적성,21
2,126.8930697,37.57630816,신체적 정신적 건강,17
14,126.9498621,37.53887854,진로 및 적성,19
7,126.936161,37.55453562,진로 및 적성,20
15,126.9580154,37.55327854,외모,17
9,126.9315773,37.54716014,경제적 어려움,19
14,126.9498621,37.53887854,가정환경,21
11,126.9268837,37.5546018,대인관계,17
7,126.936161,37.55453562,성적,17
12,126.9202243,37.55854111,외모,21
16,126.9187402,37.55054485,가정환경,19
2,126.8930697,37.57630816,외모,23
13,126.9473086,37.5535666,가정환경,18
5,126.9030374,37.55839451,경제적 어려움,21
14,126.9498621,37.53887854,신체적 정신적 건강,19
7,126.936161,37.55453562,성적,22
5,126.9030374,37.55839451,성적,22
14,126.9498621,37.53887854,경제적 어려움,20
12,126.9202243,37.55854111,가정환경,18
14,126.9498621,37.53887854,외모,19
14,126.9498621,37.53887854,가정환경,22
11,126.9268837,37.5546018,신체적 정신적 건강,18
9,126.9315773,37.54716014,진로 및 적성,18
14,126.9498621,37.53887854,신체적 정신적 건강,18
13,126.9473086,37.5535666,경제적 어려움,16
14,126.9498621,37.53887854,외모,17
5,126.9030374,37.55839451,경제적 어려움,20
8,126.9530815,37.54711001,외모,17
14,126.9498621,37.53887854,외모,19
15,126.9580154,37.55327854,경제적 어려움,23
5,126.9030374,37.55839451,경제적 어려움,20
2,126.8930697,37.57630816,성적,18
14,126.9498621,37.53887854,가정환경,20
3,126.9442751,37.54461185,경제적 어려움,19
4,126.9061061,37.56929705,가정환경,17
3,126.9442751,37.54461185,외모,16
5,126.9030374,37.55839451,신체적 정신적 건강,16
6,126.9394258,37.54670824,가정환경,21
10,126.9111576,37.5553472,경제적 어려움,22
11,126.9268837,37.5546018,경제적 어려움,17
8,126.9530815,37.54711001,신체적 정신적 건강,17
5,126.9030374,37.55839451,대인관계,19
10,126.9111576,37.5553472,가정환경,19
6,126.9394258,37.54670824,진로 및 적성,22
14,126.9498621,37.53887854,진로 및 적성,16
1,126.8813867,37.58184281,신체적 정신적 건강,22
6,126.9394258,37.54670824,진로 및 적성,21
11,126.9268837,37.5546018,대인관계,16
5,126.9030374,37.55839451,신체적 정신적 건강,20
16,126.9187402,37.55054485,진로 및 적성,16
6,126.9394258,37.54670824,진로 및 적성,18
7,126.936161,37.55453562,성적,18
9,126.9315773,37.54716014,진로 및 적성,20
13,126.9473086,37.5535666,외모,20
9,126.9315773,37.54716014,외모,19
8,126.9530815,37.54711001,경제적 어려움,22
3,126.9442751,37.54461185,경제적 어려움,16
15,126.9580154,37.55327854,외모,20
11,126.9268837,37.5546018,가정환경,16
12,126.9202243,37.55854111,진로 및 적성,17
13,126.9473086,37.5535666,경제적 어려움,18
5,126.9030374,37.55839451,신체적 정신적 건강,21
6,126.9394258,37.54670824,가정환경,21
11,126.9268837,37.5546018,진로 및 적성,17
4,126.9061061,37.56929705,신체적 정신적 건강,22
1,126.8813867,37.58184281,외모,23
4,126.9061061,37.56929705,진로 및 적성,22
8,126.9530815,37.54711001,외모,19
9,126.9315773,37.54716014,대인관계,17
6,126.9394258,37.54670824,신체적 정신적 건강,16
14,126.9498621,37.53887854,신체적 정신적 건강,22
2,126.8930697,37.57630816,외모,18
14,126.9498621,37.53887854,외모,20
16,126.9187402,37.55054485,진로 및 적성,18
1,126.8813867,37.58184281,경제적 어려움,20
3,126.9442751,37.54461185,성적,17
14,126.9498621,37.53887854,신체적 정신적 건강,23
1,126.8813867,37.58184281,외모,19
14,126.9498621,37.53887854,가정환경,18
13,126.9473086,37.5535666,가정환경,17
8,126.9530815,37.54711001,성적,21
5,126.9030374,37.55839451,신체적 정신적 건강,18
11,126.9268837,37.5546018,경제적 어려움,17
8,126.9530815,37.54711001,가정환경,19
3,126.9442751,37.54461185,경제적 어려움,22
10,126.9111576,37.5553472,경제적 어려움,16
14,126.9498621,37.53887854,성적,19
16,126.9187402,37.55054485,성적,20
4,126.9061061,37.56929705,대인관계,17
7,126.936161,37.55453562,성적,17
9,126.9315773,37.54716014,경제적 어려움,16
1,126.8813867,37.58184281,경제적 어려움,18
9,126.9315773,37.54716014,대인관계,18
10,126.9111576,37.5553472,가정환경,22
15,126.9580154,37.55327854,가정환경,16
10,126.9111576,37.5553472,외모,16
8,126.9530815,37.54711001,진로 및 적성,22
2,126.8930697,37.57630816,대인관계,16
12,126.9202243,37.55854111,성적,23
7,126.936161,37.55453562,대인관계,18
7,126.936161,37.55453562,가정환경,16
5,126.9030374,37.55839451,경제적 어려움,17
6,126.9394258,37.54670824,신체적 정신적 건강,23
9,126.9315773,37.54716014,신체적 정신적 건강,22
11,126.9268837,37.5546018,진로 및 적성,23
8,126.9530815,37.54711001,가정환경,19
8,126.9530815,37.54711001,가정환경,19
14,126.9498621,37.53887854,성적,20
7,126.936161,37.55453562,외모,16
12,126.9202243,37.55854111,성적,17
16,126.9187402,37.55054485,진로 및 적성,18
6,126.9394258,37.54670824,성적,20
9,126.9315773,37.54716014,대인관계,16
1,126.8813867,37.58184281,신체적 정신적 건강,23
5,126.9030374,37.55839451,외모,16
4,126.9061061,37.56929705,진로 및 적성,16
6,126.9394258,37.54670824,성적,17
9,126.9315773,37.54716014,외모,18
11,126.9268837,37.5546018,외모,18
15,126.9580154,37.55327854,신체적 정신적 건강,22
10,126.9111576,37.5553472,성적,21
10,126.9111576,37.5553472,성적,18
4,126.9061061,37.56929705,가정환경,22
9,126.9315773,37.54716014,가정환경,23
13,126.9473086,37.5535666,가정환경,20
3,126.9442751,37.54461185,외모,18
12,126.9202243,37.55854111,신체적 정신적 건강,16
6,126.9394258,37.54670824,성적,21
10,126.9111576,37.5553472,성적,16
8,126.9530815,37.54711001,성적,22
